True Sentiment,Tweet ID,Tweet
negative,1.22222622944675E+018,Deputy White House counsel Pat Philbin on the Senate floor: “How are we supposed to get the proof of what’s inside… https://t.co/n17paLcT2I
negative,1.23628964973737E+018,Panic buying and stockpiling of toilet roll continues. These are the scenes at Costco in Farnborough in Hampshire t… https://t.co/T0Xsyd8p1L
positive,1.23748970509E+018,Not Available
negative,1.22225831485717E+018,"It’s Super Bowl week, and Trump is using a prevent defense. The strategy sometimes backfires iN football. It may fa… https://t.co/qEtKj1JHga"
negative,1.23643264837486E+018,Turns out Donald Trump was potentially exposed to coronavirus when he was at CPAC. Maybe someone should let him kno… https://t.co/gUBIMYq5gT
positive,1.23392522569749E+018,Had a totally surreal author moment at B&amp;N today. For years and years and years I’d walk into every bookstore and i… https://t.co/CNYMWJNaDp
neutral,1.2236317137981E+018,"Forgive me, but I have to say this: imagine if Barack Obama had referred to himself as ""America's Greatest Presiden… https://t.co/a8CSR8g4Tz"
negative,1.2361289393761E+018,Arkansas can only test five patients for Coronavirus per day.  Maine can't test any yet.   Washington State has a b… https://t.co/IWjBtwCSqq
negative,1.22254087358756E+018,The ban imposed on #kunalkamra by 4 airlines is the act of a coward leveraging his influence with the Govt to silen… https://t.co/QteHY2jkK8
neutral,1.22307064596729E+018,Hamas terrorist Khalil Ibrahim Al-Shuntaf died today while digging a tunnel to help kill Jews.  Baruch Dayan HaEmet… https://t.co/UD2MLMoQuI
neutral,1.23710679475898E+018,"omb fam it's time! sierra, jason, and diego are here answering your questions live, follow along using #AskOnMyBlock"
positive,1.23613996724128E+018,"The 87-year old patient stayed in Wu Han hospital for nearly a month, haven't see the sunset since then. On his way… https://t.co/j65LrVotER"
negative,1.23732956195367E+018,@amandacarpenter Will the WH answer reasonable questions about what Trump’s own hotel and resort business stands to gain from this?
neutral,1.23446394287498E+018,Ok Star Trek friends.... I want your opinion. How do you feel about this being sold as a shirt? I'm pretty offended… https://t.co/DUAz2lcEwJ
negative,1.22130474993866E+018,Thousands of Palestinians mourn the body of the child Qais Abu Ermila in the blessed Al Aqsa Mosque. The child was… https://t.co/6UYDhrspWZ
negative,1.23791162533784E+018,So this dead-on-arrival speech from Trump does underscore that virtually every major international issue the US fac… https://t.co/Dt5gYpbTya
neutral,1.23585126428763E+018,"I spent 18 months writing a 300+ page book on the history of nerve agents. I’ve got over 20,000 pages of documents… https://t.co/Bxtyua0oQp"
negative,1.22356859570113E+018,Wow-Pence either does not know that Trump is rolling back Medicaid or he is a really good actor. This is how little… https://t.co/LTDZpkcogr
negative,1.23610303373557E+018,NEW: ‘Maybe I have a natural ability’: Trump plays medical expert on coronavirus by second-guessing the professiona… https://t.co/s42vHqxYl4
negative,1.22342885061025E+018,Not Available
neutral,1.22347561706216E+018,Sure is gonna be something seeing performative woke Twitter start trashing America’s first two Muslim congresswomen… https://t.co/7Dgx0lKpS5
positive,1.23458828726992E+018,Not Available
neutral,1.22256238384919E+018,Can’t wait to see how media will spin this into another victory for Beto.  Dems targeted this race and they lost by… https://t.co/tOviWDitUj
negative,1.23622600676518E+018,I think I may have found the #coronavirus super spreader  https://t.co/oAx3Xk59ZC
neutral,1.23634217581151E+018,"@FLOTUS @WhiteHouse At least 314 people with the Covid-19 illness have been treated in 28 states, and at least 17 p… https://t.co/zK2Pk5g9GV"
positive,1.23251890238881E+018,I feel like the most powerful witch to have ever touched the earth  #FFXIV - #ff14 - #roegadyn - #femroe https://t.co/BvuOY719YV
positive,1.23838474526179E+018,The secret’s out.. I’m swapping one ballroom for another! From September 2020 I’ll be waltzing around the UK &amp; Irel… https://t.co/rDZ4ANhJvv
negative,1.23448242834292E+018,Florida has now declared a health emergency over Coronavirus and the number of cases in US tripled since Wednesday… https://t.co/8JtvlNEXXW
positive,1.22271456630142E+018,No more #SmokeAndMirrors.  The president has confessed to everything he’s been accused of.  He asked a foreign powe… https://t.co/52zPYnCBdc
negative,1.22196361080242E+018,Wow. So according to #Dershowitz if a President abuses power there is no remedy at all no matter how destructive it… https://t.co/kik3e4jGNf
neutral,1.23456711749367E+018,Not Available
neutral,1.23839493636355E+018,Not Available
neutral,1.23690783135542E+018,If the coronacrisis in the UK becomes nearly as severe as Italy (still if) the British state will have to be reconf… https://t.co/LR5Kr9LIfr
positive,1.22230323265291E+018,"In case y'all thought we weren't on task today due to your little hissy fit fake temper tantrum, think again.… https://t.co/WrXfMKU6jn"
neutral,1.23305470006233E+018,Not Available
negative,1.23713232626757E+018,Morrison speech:  -Links response to 'patriotism' -Encourages employers to pay all their workers sick pay &amp; pay the… https://t.co/HJ3szbJQFN
neutral,1.23743356060642E+018,"1st degree block- When you have a direct confrontation with a tweep&amp; get blocked.  2nd degree block- When you ""kiki… https://t.co/arNyO1OeR4"
neutral,1.2360093782951E+018,"UNIVERSITIES: We might need to go fully online if coronavirus hits campus  PROFESSORS: OK, how exactly?  UNIVERSITI… https://t.co/VOd1KnQVFK"
negative,1.22358724986823E+018,If I was a Tory MP today I'd be shitting myself. For 47 years they've been able to blame every terrible consequence… https://t.co/1nDjJht2Ph
positive,1.23527744905261E+018,Tell me Rue... how’d it feel ?🖤 https://t.co/jrQL0smkG9
negative,1.22308763043229E+018,Kid gets expelled for playing porn intro song. I say bullshit! Kid is as talented as ever! Boycotting this suspensi… https://t.co/pgp1HYWtM3
negative,1.23645356668188E+018,One of the four patients in New Jersey who tested positive for coronavirus after initial testing apparently travele… https://t.co/sS4Bj8tFtN
neutral,1.23644868046879E+018,"NBA has informed teams that all should have guidelines for coronavirus in place by March 10, such as: - Arrangement… https://t.co/HXhss4wGBI"
neutral,1.23827283919683E+018,"Agent Peely, Hybrid, and Zenith have been ELIMINATED!  Vote for the next three you want OUT!! https://t.co/BYnKe2ZYKB"
neutral,1.23211869069661E+018,MLB: we want more people to watch games  fans: can i watch my team without being blacked out?  MLB: maybe we should… https://t.co/F9Nx5lf3CP
negative,1.23377122369335E+018,Anybody who thought the Hong Kong protests were *over* should have a look at these scenes from Mong Kok. It only ta… https://t.co/QU5oUcjaBF
positive,1.23463533742041E+018,Didn’t touch you but still made you feel me https://t.co/9yaSMZJh5e
negative,1.2363909419818E+018,"Public concern about the spread of the #coronavirus is rising. President Trump, meanwhile, evidently decided that t… https://t.co/tlo0kcPeUX"
negative,1.23777988379276E+018,"As a Brit, one of the most grating aspects of this case has been the determination of Weinstein’s lawyer to litigat… https://t.co/RpzBQckKvY"
positive,1.23466242973427E+018,"When you feel like giving up,  remember  why you held on for so long in the first place  (The Pilgrimage, by @paulocoelho )"
negative,1.23339317507671E+018,"Someone who I'm guessing didn't watch much Jeff Okudah last year asked him about having ""a tendency to get kind of… https://t.co/pJDl8v4FNt"
negative,1.23558473109546E+018,Not Available
negative,1.22356266327334E+018,Top Democrats Say They ‘Won’t Accept Trump Acquittal as Legitimate’ https://t.co/lD4VhhlcUv
negative,1.2326460183297E+018,Not Available
positive,1.22222629549873E+018,"At the end of the day, @BernieSanders gets out the vote and beats Trump. With the help of @AOC and @MMFlint https://t.co/EwstmvBpFB"
positive,1.23457988837745E+018,Tomorrow in CA I will #ChooseWarren as I have long planned to do. If you feel the urge to lecture me right now abou… https://t.co/TwrIZsLZmB
negative,1.22361449141533E+018,"Somewhere in Wuhan, three unknown people are wearing protective clothing but holding guns @SolomonYue… https://t.co/NBPCBBCvKB"
positive,1.23257213584092E+018,"I feel like celebrating the fact that it didn't actually rain at sunrise this morning! It was, however, blowing a g… https://t.co/InXXrOtoEL"
neutral,1.22330758148311E+018,"UPDATE: Viktor Shokin, Ukrainian Prosecutor General Biden wanted fired just filed a statement to Ukrainian law enfo… https://t.co/tilTqz25MG"
positive,1.22411649751943E+018,#DemiLovato killed it with her powerful rendition of the National Anthem! 🇺🇸Thoughts? #SuperBowl https://t.co/nvLObkZW19
neutral,1.23649167778066E+018,This is an outrage. https://t.co/oPFaLk4lt9
negative,1.23258906747011E+018,"It's shameful and downright inhuman to cheer for a deadly Virus to spread - and enjoy seeing people suffer for it,… https://t.co/jAgqQLc9Cc"
negative,1.23630643449061E+018,"Big newsrooms may need to take political reporters – and editors on the political desk – ""entirely out of the loop""… https://t.co/cIg2Jkcqpf"
neutral,1.23415320326194E+018,Not Available
negative,1.22360782753877E+018,Is there anything Trump won't politicize? No. The ghastly story of the doctored weather forecast https://t.co/YHWxghqtqh
neutral,1.23364046637923E+018,@bIondiewasabi if u cant respect gibby then feel free to leave https://t.co/cwmgT49HMC
neutral,1.2377292437543E+018,Entropy is the measure of the disorder of a system.   Ex: A block of ice will increase entropy as it melts. As ice… https://t.co/JcTinSCHtG
positive,1.22410102325962E+018,Not Available
negative,1.23636309007104E+018,what our president has done to fight the coronavirus: - praised himself - called it a hoax - blamed Obama - worn a… https://t.co/VtwukRU6FS
